m_grid=400 n_grid=800 threshold=0.9 endtime=5s
time/s nx ny dist_hor dist_ver alpha_water Ux(m/s) Uz(m/s) acceleration(m^2/s) convergence
0.0001 199 739 0 0 0.998492756536 -1.82453119853e-07 -0.000979391310369 9.79391310369 9.79391310369e+16
0.0002 199 739 0 0 0.99797917402 -2.49260964052e-07 -0.00195325007625 9.73858765881 0.994351037803
0.0003 199 739 0 0 0.998710777318 -2.64169174669e-07 -0.0029359940745 9.82743998253 0.50313270697
0.0004 199 739 0 0 0.999223744966 -2.93192651007e-07 -0.00391856980168 9.82575727175 0.334665432641
0.0005 199 739 0 0 0.999039746644 -2.92467601678e-07 -0.00490047116567 9.81901363992 0.250576463783
0.0006 199 739 0 0 0.998887949664 -2.66667234061e-07 -0.00585691978775 9.56448622081 0.195174829062
0.0007 199 739 0 0 0.998797356544 -2.5608009396e-07 -0.00681606593935 9.59146151594 0.163762896941
0.0008 199 739 0 0 0.998896058824 -2.69374875546e-07 -0.0077270742149 9.11008275554 0.133656024408
0.0009 199 739 0 0 0.998732221477 -2.91613017617e-07 -0.00879756363758 10.7048942268 0.138537484294
0.001 199 739 0 0 0.998792005034 -2.95162380873e-07 -0.00979936656711 10.0180292953 0.113872768735
0.0011 199 739 0 0 0.99879642953 -2.98607212248e-07 -0.0107618824396 9.62515872483 0.0982222540499
0.0012 199 739 0 0 0.998914668067 -2.96234697479e-07 -0.0116357747849 8.73892345277 0.0812025544956
0.0013 199 739 0 0 0.998886528571 -2.88145769748e-07 -0.0125870939975 9.51319212605 0.0817581321565
0.0014 199 739 0 0 0.999038501684 -2.83716118687e-07 -0.0136266425497 10.3954855218 0.0825884475315
0.0015 199 739 0 0 0.998871257983 -2.86450384622e-07 -0.0145844793412 9.57836791513 0.0702914740753
0.0016 199 739 0 0 0.99870414094 -2.87856104866e-07 -0.0155842710503 9.99791709159 0.068551758741
0.0017 199 739 0 0 0.998414405518 -3.00173202341e-07 -0.0166284748554 10.4420380502 0.0670036988989
0.0018 199 739 0 0 0.998485581104 -2.81273574415e-07 -0.0176375658328 10.0909097742 0.0606845177446
0.0019 199 739 0 0 0.998529264214 -2.52280217391e-07 -0.0186513341773 10.1376834448 0.0574777922358
0.002 199 739 0 0 0.99851488796 -2.38929064381e-07 -0.0196470416973 9.95707520067 0.0533853241063
0.0021 199 739 0 0 0.998440081104 -2.41570300167e-07 -0.0206316570468 9.84615349498 0.0501151962044
0.0022 199 739 0 0 0.998499561977 -2.60334532663e-07 -0.0216438472529 10.1219020611 0.0490600538683
0.0023 199 739 0 0 0.998893482323 -2.84826528619e-07 -0.0227032165177 10.5936926475 0.0489455156639
0.0024 199 739 0 0 0.998502927852 -3.12745041946e-07 -0.0236848544463 9.81637928632 0.0432378349503
0.0025 199 739 0 0 0.998473485738 -3.30922587248e-07 -0.0246650605713 9.80206125 0.0413853556593
0.0026 199 739 0 0 0.998286559464 -3.50166155779e-07 -0.0256453170352 9.80256463867 0.0397427146401
0.0027 199 739 0 0 0.998274207705 -3.60854463987e-07 -0.0266012316415 9.55914606365 0.0372744312365
0.0028 199 739 0 0 0.998419172819 -3.66738901007e-07 -0.0275239677852 9.22736143694 0.0346877225885
0.0029 199 738 0 0 0.998438156879 -3.59982139262e-07 -0.0285850785126 10.6111072735 0.0385522441978
0.003 199 738 0 0 0.998603563866 -3.70884739496e-07 -0.0294930573815 9.07978868929 0.0317640851862
0.0031 199 738 0 0 0.99861162521 -3.84445602521e-07 -0.0303123262 8.19268818487 0.0277783617985
0.0032 199 738 0 0 0.998448873322 -3.64470735738e-07 -0.0313085020537 9.96175853691 0.0328637217454
0.0033 199 738 0 0 0.998436513423 -3.62507175336e-07 -0.0322665980914 9.58096037752 0.0306017846561
0.0034 199 738 0 0 0.9987173367 -3.3003760101e-07 -0.0332410655539 9.74467462429 0.0302005020693
0.0035 199 738 0 0 0.998812209949 -3.06100421585e-07 -0.0342548848103 10.1381925641 0.0304989999425
0.0036 199 738 0 0 0.999230136441 -3.15581025424e-07 -0.035345630678 10.9074586768 0.0318420532931
0.0037 199 738 0 0 0.998678379427 -3.1147306914e-07 -0.036328963516 9.83332838054 0.0278204920719
0.0038 199 738 0 0 0.998821908784 -2.98875422297e-07 -0.0372878086672 9.58845151209 0.02639340786
0.0039 199 738 0 0 0.99913024661 -2.74370502543e-07 -0.0381990527992 9.11244131923 0.0244381250734
0.004 199 738 0 0 0.998954457699 -2.54458069374e-07 -0.0391319037986 9.32850999494 0.0244207887666
0.0041 199 738 0 0 0.998970579526 -2.42867820643e-07 -0.0399571507445 8.25246945855 0.0210888524642
0.0042 199 738 0 0 0.998665746206 -2.22597043845e-07 -0.0409554855649 9.98334820423 0.0249851353718
0.0043 199 738 0 0 0.998537159091 -2.16730298821e-07 -0.0419121480724 9.56662507466 0.0233585927323
0.0044 199 738 0 0 0.998045448074 -2.15661217755e-07 -0.0428333066164 9.21158544025 0.0219783186114
0.0045 199 738 0 0 0.998570809764 -2.10389343434e-07 -0.0437622135185 9.28906902103 0.0216865559883
0.0046 199 738 0 0 0.998499266387 -2.17991528622e-07 -0.0447484755462 9.862620277 0.022536840539
0.0047 199 738 0 0 0.998368177013 -2.26698682886e-07 -0.0457118247258 9.6334917962 0.0215280893452
